Place,Time,Marking
LOOP(Q11),18.13,7
IDLE(0),18.15,14
PACKET CHECK(1),18.16,3
LOOP(Q16),18.16,6
SENDING PACKET(1),18.16,44
SENDING PACKET(0),18.2,55
LOOP(Q11),18.2,6
ACK CHECK(0),18.23,4
LOOP(Q13),18.23,2
SENDING ACK(0),18.23,2
ACK CHECK(0),18.23,5
LOOP(Q13),18.23,3
SENDING ACK(0),18.23,1
ACK CHECK(1),18.23,20
LOOP(Q18),18.23,5
SENDING ACK(1),18.23,3
PACKET CHECK(0),18.29,20
LOOP(Q11),18.29,7
SENDING PACKET(0),18.29,54
SENDING PACKET(0),18.38,55
LOOP(Q13),18.38,2
PACKET CHECK(0),18.4,21
LOOP(Q11),18.4,8
SENDING PACKET(0),18.4,54
SENDING PACKET(0),18.41,55
LOOP(Q13),18.41,1
IDLE(0),18.5,15
SENDING PACKET(0),18.5,56
IDLE(0),18.5,14
ACK CHECK(0),18.54,6
LOOP(Q13),18.54,2
SENDING ACK(0),18.54,0
PACKET CHECK(1),18.54,4
LOOP(Q16),18.54,7
SENDING PACKET(1),18.54,43
SENDING ACK(1),18.57,4
PACKET CHECK(1),18.57,3
SENDING PACKET(0),18.59,57
IDLE(0),18.59,13
